val_loss_step,val_f1_score_step,step,val_loss_epoch,val_f1_score_epoch,epoch,train_loss_epoch,train_f1_score_epoch,train_f1_score_step,train_loss_step
0.48208490014076233,0.75,30,,,,,,,
0.7431010603904724,0.5,31,,,,,,,
0.4658322334289551,0.75,32,,,,,,,
,,131,0.5636727213859558,0.6666666865348816,10,,,,
,,131,,,10,0.46874821186065674,0.7708333134651184,,
0.4655335545539856,0.875,33,,,,,,,
0.46798691153526306,0.875,34,,,,,,,
0.3724634647369385,1.0,35,,,,,,,
,,143,0.4353279769420624,0.9166666865348816,11,,,,
,,143,,,11,0.46101459860801697,0.8125,,
,,149,,,12,,,0.75,0.3428367078304291
0.455049991607666,0.875,36,,,,,,,
0.453963965177536,0.875,37,,,,,,,
0.358011931180954,1.0,38,,,,,,,
,,155,0.4223419725894928,0.9166666865348816,12,,,,
,,155,,,12,0.468948096036911,0.8229166865348816,,
0.5173232555389404,0.625,39,,,,,,,
0.3800770044326782,0.875,40,,,,,,,
0.35414206981658936,0.875,41,,,,,,,
,,167,0.41718077659606934,0.7916666865348816,13,,,,
,,167,,,13,0.4223916828632355,0.8958333134651184,,
0.5091179609298706,0.75,42,,,,,,,
0.37256795167922974,0.875,43,,,,,,,
0.33989107608795166,0.875,44,,,,,,,
,,179,0.40719231963157654,0.8333333134651184,14,,,,
,,179,,,14,0.4477289915084839,0.7916666865348816,,
0.4357374906539917,0.875,45,,,,,,,
0.4029274582862854,0.875,46,,,,,,,
0.3259219825267792,1.0,47,,,,,,,
,,191,0.38819563388824463,0.9166666865348816,15,,,,
,,191,,,15,0.43846607208251953,0.8333333134651184,,
,,199,,,16,,,0.5,0.6538864970207214
0.40308502316474915,0.75,48,,,,,,,
0.6147340536117554,0.625,49,,,,,,,
0.37377798557281494,0.875,50,,,,,,,
,,203,0.4638656675815582,0.75,16,,,,
,,203,,,16,0.3985782861709595,0.8541666865348816,,
0.4163043797016144,0.875,51,,,,,,,
0.3865085542201996,0.875,52,,,,,,,
0.307891309261322,1.0,53,,,,,,,
,,215,0.37023472785949707,0.9166666865348816,17,,,,
