val_loss_step,val_f1_score_step,step,val_f1_score_epoch,epoch,val_loss_epoch,train_loss_epoch,train_f1_score_epoch,train_f1_score_step,train_loss_step
1.0245921611785889,0.25,0,,,,,,,
0.8613928556442261,0.5,1,,,,,,,
1.0349050760269165,0.25,2,,,,,,,
,,11,0.3333333432674408,0,0.9736300110816956,,,,
,,11,,0,,1.2416566610336304,0.4270833432674408,,
0.913094162940979,0.5,3,,,,,,,
0.7342684268951416,0.75,4,,,,,,,
0.8222621083259583,0.75,5,,,,,,,
,,23,0.6666666865348816,1,0.8232082724571228,,,,
,,23,,1,,0.9170999526977539,0.53125,,
0.9067593216896057,0.5,6,,,,,,,
0.6476941108703613,0.75,7,,,,,,,
0.7195945978164673,0.75,8,,,,,,,
,,35,0.6666666865348816,2,0.7580159306526184,,,,
,,35,,2,,0.8034568428993225,0.71875,,
0.7154879570007324,0.5,9,,,,,,,
0.6165503263473511,0.75,10,,,,,,,
0.6108954548835754,0.75,11,,,,,,,
,,47,0.6666666865348816,3,0.647644579410553,,,,
,,47,,3,,0.7390282154083252,0.65625,,
,,49,,4,,,,0.625,0.8380382061004639
0.6052933931350708,0.75,12,,,,,,,
0.7880723476409912,0.5,13,,,,,,,
0.6123991012573242,0.75,14,,,,,,,
,,59,0.6666666865348816,4,0.6685883402824402,,,,
,,59,,4,,0.6434386372566223,0.7395833134651184,,
0.5884077548980713,0.875,15,,,,,,,
0.5706214308738708,1.0,16,,,,,,,
0.5302719473838806,0.875,17,,,,,,,
,,71,0.9166666865348816,5,0.5631003975868225,,,,
,,71,,5,,0.6291030645370483,0.78125,,
0.8249425292015076,0.5,18,,,,,,,
0.49813079833984375,0.75,19,,,,,,,
0.5446553230285645,0.75,20,,,,,,,
,,83,0.6666666865348816,6,0.6225762367248535,,,,
,,83,,6,,0.5717492699623108,0.8125,,
0.5270327925682068,0.75,21,,,,,,,
0.7338279485702515,0.5,22,,,,,,,
0.5223429799079895,0.75,23,,,,,,,
,,95,0.6666666865348816,7,0.5944011807441711,,,,
,,95,,7,,0.5329042673110962,0.7708333134651184,,
,,99,,8,,,,0.75,0.4507972300052643
0.5126547813415527,0.875,24,,,,,,,
0.5254591107368469,0.75,25,,,,,,,
0.45049038529396057,1.0,26,,,,,,,
,,107,0.875,8,0.49620139598846436,,,,
,,107,,8,,0.5245966911315918,0.8333333134651184,,
0.7196152806282043,0.5,27,,,,,,,
0.4340800344944,0.75,28,,,,,,,
0.4649645686149597,0.75,29,,,,,,,
,,119,0.6666666865348816,9,0.5395533442497253,,,,
,,119,,9,,0.5139477849006653,0.8333333134651184,,
0.5467041730880737,0.625,30,,,,,,,
0.4289979338645935,0.875,31,,,,,,,
0.40715447068214417,0.875,32,,,,,,,
,,131,0.7916666865348816,10,0.46095219254493713,,,,
,,131,,10,,0.4996922016143799,0.78125,,
0.4773714542388916,0.875,33,,,,,,,
0.4737517535686493,0.875,34,,,,,,,
0.3892805278301239,1.0,35,,,,,,,
,,143,0.9166666865348816,11,0.4468012750148773,,,,
,,143,,11,,0.46469488739967346,0.78125,,
,,149,,12,,,,0.625,0.5285958051681519
0.4664749503135681,0.875,36,,,,,,,
0.457446813583374,1.0,37,,,,,,,
0.37676966190338135,1.0,38,,,,,,,
,,155,0.9583333134651184,12,0.43356379866600037,,,,
,,155,,12,,0.44546449184417725,0.875,,
0.5555845499038696,0.625,39,,,,,,,
0.38257908821105957,0.875,40,,,,,,,
0.3736620843410492,0.875,41,,,,,,,
,,167,0.7916666865348816,13,0.4372752606868744,,,,
,,167,,13,,0.44047310948371887,0.8958333134651184,,
0.43482208251953125,1.0,42,,,,,,,
0.46179503202438354,0.75,43,,,,,,,
0.3539588153362274,1.0,44,,,,,,,
,,179,0.9166666865348816,14,0.41685864329338074,,,,
,,179,,14,,0.4347151815891266,0.8229166865348816,,
0.4362884759902954,0.875,45,,,,,,,
0.4186990559101105,1.0,46,,,,,,,
0.3404778242111206,1.0,47,,,,,,,
,,191,0.9583333134651184,15,0.39848843216896057,,,,
,,191,,15,,0.41541528701782227,0.90625,,
,,199,,16,,,,1.0,0.2931182384490967
0.4111713171005249,1.0,48,,,,,,,
0.44357433915138245,0.75,49,,,,,,,
0.33644533157348633,1.0,50,,,,,,,
,,203,0.9166666865348816,16,0.39706364274024963,,,,
,,203,,16,,0.3997053802013397,0.8958333134651184,,
0.3931078612804413,0.875,51,,,,,,,
0.4705575108528137,0.75,52,,,,,,,
0.33864253759384155,0.875,53,,,,,,,
,,215,0.8333333134651184,17,0.40076932311058044,,,,
,,215,,17,,0.38179269433021545,0.875,,
0.43070024251937866,0.75,54,,,,,,,
0.3558836579322815,1.0,55,,,,,,,
0.3181324899196625,0.875,56,,,,,,,
,,227,0.875,18,0.36823880672454834,,,,
,,227,,18,,0.38928595185279846,0.90625,,
0.4795002043247223,0.75,57,,,,,,,
0.32153353095054626,0.875,58,,,,,,,
0.32155224680900574,0.875,59,,,,,,,
,,239,0.8333333134651184,19,0.3741953372955322,,,,
,,239,,19,,0.3717025816440582,0.9166666865348816,,
,,249,,20,,,,0.5,0.45866745710372925
0.4105696380138397,0.875,60,,,,,,,
0.3394037187099457,1.0,61,,,,,,,
0.3023819923400879,0.875,62,,,,,,,
,,251,0.9166666865348816,20,0.35078510642051697,,,,
,,251,,20,,0.3852027952671051,0.84375,,
0.3647541403770447,1.0,63,,,,,,,
0.3925742208957672,0.75,64,,,,,,,
0.29890012741088867,1.0,65,,,,,,,
,,263,0.9166666865348816,21,0.3520761728286743,,,,
,,263,,21,,0.3443598449230194,0.9479166865348816,,
0.37948063015937805,0.875,66,,,,,,,
0.33926382660865784,1.0,67,,,,,,,
0.28937870264053345,0.875,68,,,,,,,
,,275,0.9166666865348816,22,0.33604106307029724,,,,
,,275,,22,,0.3577553331851959,0.9479166865348816,,
0.4197072982788086,0.75,69,,,,,,,
0.30018851161003113,1.0,70,,,,,,,
0.28694766759872437,0.875,71,,,,,,,
,,287,0.875,23,0.33561453223228455,,,,
,,287,,23,,0.33379027247428894,0.9166666865348816,,
